label,AVG_duration,Median_duration,Stay_frequency,Hotspot_longitude,Hotspot_latitude,停留时长比例大于70%,停留时段比例大于70%
4190,11.0,11.0,1.0,119.32881682307696,35.6220804230769,0.0,0.0
4191,14.0,14.0,1.0,119.31293699999996,35.60099129999998,0.0,1.0
4192,10.0,10.0,1.0,119.2828883346154,35.58542550384617,0.0,1.0
4193,17.0,17.0,1.0,119.2878886162162,35.58471306486486,0.0,1.0
4194,14.0,14.0,1.0,119.29909204137935,35.58781300000001,0.0,0.0
4195,13.0,13.0,1.0,119.28578780666666,35.58506042000001,0.0,1.0
4196,115.5,115.5,2.0,119.16160450362909,35.37244225685484,0.0,0.0
4197,51.0,51.0,1.0,118.95050269736836,35.52687015921048,1.0,0.0
4198,89.66666666666667,35.0,3.0,118.80943286498878,35.57889652173909,0.0,0.0
4199,597.0,597.0,1.0,118.8683709537312,35.64932374850746,1.0,0.0
4200,109.33333333333333,76.0,3.0,118.801158780893,35.57310809992365,1.0,0.0
4201,49.0,49.0,1.0,118.80777538433728,35.57365932048193,1.0,0.0
4202,40.0,40.0,1.0,119.47047764719107,35.39861704269657,0.0,0.0
4203,16.0,16.0,2.0,119.31910086179482,35.616836383461546,0.0,0.0
4204,215.0,215.0,1.0,118.91854265294118,35.58651647058823,1.0,0.0
4205,103.0,103.0,1.0,118.98064365624998,35.515061675000005,1.0,0.0
4206,68.0,70.0,3.0,119.45711029612964,35.32661147606211,0.0,0.0
4207,48.333333333333336,13.0,3.0,119.46054483675319,35.32774348317966,0.0,0.0
4208,10.0,10.0,1.0,119.32992200000002,35.63916937857143,0.0,0.0
4209,26.0,26.0,1.0,119.22357224393932,35.60925817272727,0.0,0.0
4210,112.33333333333333,77.0,6.0,119.37947636761514,35.33781283845939,0.0,0.0
4211,11.0,11.0,1.0,119.4562660923077,35.32819939230771,0.0,0.0
4212,11.0,11.0,1.0,119.2234852388889,35.60809301666666,0.0,0.0
4213,28.0,28.0,1.0,119.20346134193548,35.6117986,0.0,0.0
4214,100.0,100.0,1.0,119.20398500931675,35.60915781242235,1.0,0.0
4215,11.0,11.0,1.0,119.3956276916667,35.42821181388887,0.0,0.0
4216,38.0,38.0,1.0,119.39846513589754,35.42771017264958,0.0,0.0
4217,24.0,24.0,1.0,119.39927271199996,35.42844809599998,0.0,0.0
4218,11.0,11.0,1.0,119.38939782799994,35.43288396400002,0.0,1.0
4219,29.0,29.0,2.0,119.41074159045452,35.12253135780842,0.0,0.0
4220,45.0,45.0,1.0,119.38068461473692,35.13023812526322,1.0,0.0
4221,108.0,108.0,1.0,119.4023455781822,35.33280825954526,1.0,0.0
4222,105.0,105.0,1.0,119.41585436571428,35.12172144857145,1.0,0.0
4223,23.0,23.0,1.0,118.84312835,35.632671792857145,0.0,0.0
4224,41.0,41.0,2.0,119.35920328266569,35.42642530944302,0.0,0.0
4225,12.0,12.0,1.0,119.31353663461536,35.60393210769231,0.0,0.0
4226,26.0,26.0,2.0,119.27872274940985,35.57728639792664,0.0,0.0
4227,15.333333333333334,11.0,3.0,119.308230024183,35.59717971736288,0.0,0.0
