label,AVG_duration,Median_duration,Stay_frequency,Hotspot_longitude,Hotspot_latitude,停留时长比例大于70%,停留时段比例大于70%
5087,114.5,114.5,2.0,119.09314121410253,35.172295778571424,1.0,0.0
5088,157.0,157.0,1.0,119.6129174891892,34.53668420000001,1.0,0.0
5089,110.5,110.5,2.0,120.11752765410975,36.07475558195817,0.0,0.0
5090,18.5,18.5,2.0,119.81056225855264,35.740267328508764,0.0,0.0
5091,76.33333333333333,38.0,3.0,120.00446893949595,36.108537294207565,0.0,0.0
5092,529.0,529.0,1.0,119.48276340999996,35.48278933333332,1.0,0.0
5093,208.0,208.0,1.0,119.3880261972974,35.192237862162166,1.0,1.0
5094,11.0,11.0,1.0,120.09770156086952,36.19300847826087,0.0,0.0
5095,56.888888888888886,47.0,9.0,120.1217274813874,36.333162843192824,0.0,0.0
5097,26.0,26.0,1.0,119.41176783018882,35.44082820754715,0.0,0.0
5098,13.0,13.0,1.0,120.07004,36.14359415,0.0,0.0
5099,15.0,15.0,1.0,120.0508675974026,36.12359750779221,0.0,0.0
5100,13.0,13.0,1.0,119.94908389599998,36.24845283199999,0.0,0.0
5101,12.0,12.0,1.0,119.78239963333334,36.14346094444445,0.0,0.0
5102,777.0,813.5,4.0,119.64058578919602,36.239976862817976,1.0,0.0
5103,12.5,12.5,2.0,119.95958763746893,35.89323943566999,0.0,0.0
5104,158.0,158.0,1.0,120.07118635094332,36.14993574528302,1.0,0.0
5105,49.0,49.0,1.0,120.1684491678571,35.96985001904764,1.0,1.0
5106,22.0,22.0,1.0,120.1435253708333,35.974693562499986,0.0,1.0
5107,12.0,12.0,1.0,120.0731883451613,36.10434156451611,0.0,0.0
5108,17.0,17.0,1.0,120.093084875,36.14570377500001,0.0,0.0
5109,23.0,23.0,2.0,120.11737637308138,36.07406064994187,0.0,0.0
5110,55.0,55.0,1.0,120.11667205652172,36.07901059130434,1.0,0.0
5111,10.0,10.0,1.0,119.986264332,36.050948868000006,0.0,0.0
5112,68.2,66.0,5.0,120.08943145681057,36.115314604137595,0.0,0.0
5114,12.5,12.5,2.0,119.384435335,35.372691465,0.0,0.0
5115,116.0,98.0,5.0,120.12946798037554,36.016209000730065,1.0,0.0
5116,28.0,28.0,1.0,120.09678247258068,36.145687480645165,0.0,1.0
5117,22.0,22.0,1.0,120.1485286830188,36.08063843773586,0.0,1.0
5118,64.0,64.0,1.0,120.124235405263,36.02510046140352,1.0,0.0
5119,46.4,28.0,5.0,120.06409525250153,36.14599058031064,0.0,0.0
5120,17.0,17.0,2.0,120.07393768535084,36.21243803429826,0.0,0.0
5121,12.0,12.0,2.0,120.0937716722222,36.14570103333333,0.0,0.0
5122,37.666666666666664,29.0,3.0,119.8872385634149,35.67426267397632,0.0,0.0
5123,53.0,38.0,3.0,119.9880909884705,35.94614757817511,0.0,0.0
5124,18.0,18.0,1.0,119.81483885625,35.75009355000002,0.0,0.0
5125,45.25,49.5,4.0,120.12346108947511,36.02488782824675,0.0,0.0
5126,20.0,20.0,1.0,120.09884737380956,36.141182683333305,0.0,0.0
5127,30.333333333333332,26.0,3.0,119.85801271565254,35.78924319929454,0.0,0.0
5128,91.66666666666667,24.0,3.0,119.30926438549784,35.163318037187,0.0,0.0
5130,68.0,68.0,1.0,119.9817845362317,35.961717526086886,1.0,1.0
5131,19.5,15.5,4.0,119.5094581793355,35.54853769529604,0.0,1.0
5132,64.5,64.5,2.0,120.34200845392598,36.31571954520011,0.0,0.0
5133,16.0,16.0,1.0,120.28371236666663,36.313060725,0.0,1.0
5134,42.0,42.0,2.0,120.00166214850341,35.847697707108836,0.0,0.0
5136,27.4,25.0,5.0,120.05005627313889,36.08785526044444,0.0,0.0
5137,15.0,15.0,1.0,120.06011794411768,36.10510604411766,0.0,0.0
5138,69.0,69.0,1.0,119.95665078367352,36.36312281836738,1.0,0.0
5139,13.0,13.0,2.0,119.80189547350449,36.146067898729726,0.0,0.0
5141,92.16666666666667,42.5,6.0,120.00484868877618,36.31943532558558,0.0,0.0
5142,201.5,201.5,2.0,119.00643865166663,35.15862735405556,1.0,0.0
5143,15.0,15.0,1.0,119.24760696521736,35.28213102173914,0.0,0.0
5144,26.1,24.0,10.0,118.46944785518681,35.105261035352,0.0,0.0
5145,44.0,44.0,1.0,118.88229868666669,35.14385768666668,1.0,0.0
5146,32.0,32.0,1.0,118.86319409142862,35.16087558285713,0.0,0.0
5147,96.0,96.0,1.0,118.49123165083356,35.112044905833336,1.0,0.0
5149,14.0,14.0,2.0,118.63514983867022,35.12457788593087,0.0,0.0
5151,249.5,228.0,4.0,119.03358649314858,35.16695944056277,1.0,0.0
5152,41.0,41.0,1.0,118.49672952499994,35.11293083928573,1.0,0.0
5154,97.0,97.0,2.0,118.46786284208342,35.105054334583315,1.0,0.0
5155,287.5,287.5,2.0,118.47399414713934,35.085470902694865,1.0,0.0
5156,291.0,251.0,4.0,118.51574980945338,35.24805556101588,0.0,0.0
5157,12.0,12.0,1.0,119.1422612192308,35.19241365384614,0.0,0.0
5159,27.8,25.0,5.0,118.46954321648354,35.10570835413163,0.0,0.0
5160,14.0,14.0,2.0,119.23333129538179,35.182512107635446,0.0,0.0
5161,171.5,171.5,2.0,118.4657602767072,35.1044064371535,0.0,0.0
5163,598.0,598.0,1.0,118.81227142162156,35.16021847027025,1.0,0.0
