end_point,longitude,latitude
P000030106,117.05896426756756,36.071960372973
P000030152,118.4365711373738,35.018503589898984
P000030167,119.37682509230768,35.9725151153846
P000030169,118.26491769722227,37.06764929444443
P000030239,120.33891765272703,36.30234439878792
P000030272,120.6663853593306,36.94995235263146
P000030286,118.42597821607156,35.04402116071432
P000030297,118.98660558160928,36.70917842298852
P000030305,118.23713187857147,35.76816798214286
P000030376,118.17405487500004,36.83841856250001
P000030417,118.24965035714284,37.059239282142855
P000030466,117.07036488965514,36.07843719310345
P000030525,119.39391109836065,36.1048776704918
P000030537,118.26178656875,37.0472149
P000030562,120.16545534161877,36.04714798150295
P000030589,119.4226385166666,35.38443347222224
P000030682,119.9520631883333,36.281485359999984
P000030694,118.44385125000002,35.02006572045453
P000030718,118.44440210851066,35.388616153191485
P000026853,119.9520631883333,36.281485359999984
P000002251,119.95248030909096,36.28185349772725
P000016731,119.9527976963636,36.281507965454544
P000020883,119.9530116016659,36.282418552916575
P000047275,119.95280187777786,36.282473167901216
P000022870,121.29604308550728,37.463192976811605
P000014437,121.2969287926316,37.46289742421058
P000022479,121.29591232928188,37.463494435359046
P000022304,121.29578710854726,37.462620530769264
P000010080,121.29714153333336,37.46271197333333
P000026894,121.29717746605284,37.46240304331094
P000034483,121.29668179333332,37.46278932666667
P000036660,121.2971248951491,37.46471917824344
P000020971,121.2972975682923,37.46443456707325
P000014475,119.96457065925912,36.33356291666666
PS10001629,119.96440898241757,36.33357950769228
P000005367,119.96510527692308,36.33160514615384
P000001432,119.96438456111116,36.33366129259258
P000003383,119.96455264834408,36.33327767152316
P000047051,119.96441652999997,36.33337443500002
P000002768,119.964505335,36.33350043500001
P000021159,119.96463348999994,36.33289118571432
P000002491,119.96475843245568,36.33451809999997
P000027509,119.96449292926836,36.33316659024391
P000025824,119.9641778590909,36.33345589318185
P000000807,119.9644149227273,36.33373674318184
P000029855,119.96444160909093,36.33398212272727
P000005746,119.96489734444442,36.33328945555556
P000037993,119.96467329999996,36.33051
P000014453,119.96484866800007,36.3293777
P000016081,119.96659693132528,36.32955090602411
P000019036,119.66009924499994,35.62771196333334
P000018840,119.66011313448284,35.62787008620692
P000029066,119.66013616590912,35.62782283181821
P000037001,119.66015484285715,35.62766712285716
P000029074,118.4685000918367,35.593779379591844
P000016986,118.46858355000008,35.59373512142855
P000019258,118.46774966558444,35.59185127662338
P000014334,119.50962944761903,35.55121333333333
P000045423,119.5113818710145,35.551431263768144
P000014525,119.50960212499996,35.55125268749998
P000022712,119.50947409195858,35.551296954557124
P000018422,119.5105932947208,35.55125432204978
P000020085,119.5101075,35.55129225256409
